# det_number side channel corrected_fit_amp corrected_fit_energy corrected_fit_fwhm raw_fit_mean
1 0 0 24.42520687 5.483118404 0.1698479899 2065.366272
1 0 1 15.41097861 5.483055868 0.2674897843 2061.679554
1 0 2 15.65932969 5.488517371 0.2585205418 1862.958771
1 0 3 14.11258849 5.483438033 0.2432101724 2018.429327
1 0 4 16.63249677 5.495152202 0.2001120318 1998.898911
1 0 5 20.07152867 5.496882705 0.2046805684 1960.776964
1 0 6 32.58659626 5.484341137 0.1347607276 2111.42553
1 0 7 31.29409815 5.485286799 0.1388653522 2092.613999
1 1 0 56.6237098 5.468937789 0.6662817912 783.3991462
2 0 0 24.95711192 5.490170825 0.2082665271 2100.487684
2 0 1 20.97945126 5.486744645 0.2385065517 2001.516277
2 0 2 16.8038151 5.486284012 0.2639522315 2033.29768
2 0 3 21.71071816 5.488367632 0.239114904 2000.959505
2 0 4 16.6372002 5.491835687 0.2834961812 2046.01944
2 0 5 18.37895861 5.492097731 0.2546354111 2016.087958
2 0 6 14.02108482 5.499606582 0.2717860607 2086.562212
2 0 7 14.91825055 5.483763975 0.296351511 2011.084357
2 1 0 77.20187338 5.487478238 0.5787248299 802.9904154
3 0 0 14.47071101 5.482193454 0.2773202561 1986.248048
3 0 1 9.443746753 5.497388219 0.3555069256 1968.4483
3 0 2 5.882268623 5.479793617 0.5756283759 1842.594352
3 0 3 5.869879446 5.429732837 0.4948885866 1866.024265
3 0 4 5.774589184 5.47554489 0.3824101184 1850.262043
3 0 5 6.988098841 5.47092395 0.3430206827 1850.417175
3 0 6 6.929115603 5.483223319 0.4109769302 1943.10167
3 0 7 12.193719 5.474815266 0.2733982427 2049.239479
3 1 0 41.80004006 5.44720712 0.8319138991 726.623776
4 0 0 11.62405605 5.480986477 0.2697565866 1963.186923
4 0 1 10.40878981 5.485258798 0.2965655883 1769.85453
4 0 2 10.59956893 5.489772865 0.2981250517 1954.096991
4 0 3 9.611486921 5.493083467 0.3834999969 1827.024887
4 0 4 8.993764458 5.490392144 0.3019360055 1841.304241
4 0 5 8.707260055 5.508627118 0.307587661 1886.299625
4 0 6 11.34923079 5.487265278 0.2735700005 1988.191627
4 0 7 11.3626795 5.481299887 0.2984791288 1929.164862
4 1 0 47.26529542 5.478530611 0.6264549907 731.1129207
5 0 0 47.48680257 5.486050307 0.1182214574 2128.234121
5 0 1 41.65128711 5.484788723 0.1344408998 2235.207046
5 0 2 51.08526296 5.488595883 0.1069015759 2209.033275
5 0 3 49.81462556 5.487616644 0.1151575154 2194.996674
5 0 4 45.81481437 5.485332894 0.1146279573 2131.904777
5 0 5 48.15902517 5.485676037 0.1178570602 2105.98372
5 0 6 43.15941148 5.486893697 0.1290715769 2128.97805
5 0 7 43.62633305 5.4808034 0.1165644019 2117.04371
5 1 0 99.85840965 5.480592969 0.462312257 863.4771807
6 0 0 57.89686828 5.489336532 0.1039260499 2237.938351
6 0 1 52.18643922 5.486421951 0.09678099852 2201.244097
6 0 2 53.73749629 5.486563854 0.09613617504 2136.033406
6 0 3 50.83333521 5.485588623 0.1010834798 2114.58486
6 0 4 48.07680236 5.486487433 0.1053473147 2121.524985
6 0 5 53.18707415 5.486383664 0.1011813401 2220.618057
6 0 6 52.26761459 5.487852634 0.09961361636 2128.296465
6 0 7 44.79862477 5.486878045 0.1087980267 2065.954648
6 1 0 105.247431 5.48856453 0.4293783798 814.7054186
7 0 0 37.76075378 5.48548859 0.1488355228 2023.450797
7 0 1 33.13846994 5.4875189 0.1672386258 2105.654743
7 0 2 33.46174527 5.484831136 0.1566538583 2158.276262
7 0 3 32.28782087 5.486314721 0.1593288957 2163.945544
7 0 4 28.30455499 5.487515401 0.1718788938 2164.068034
7 0 5 31.2314907 5.487067101 0.148147601 2132.899529
7 0 6 38.3269906 5.492431849 0.1238232379 2162.117095
7 0 7 36.23105966 5.487366119 0.134366266 2122.37482
7 1 0 94.72101618 5.485540569 0.47159323 857.9794972
8 0 0 20.04148163 5.483109266 0.1881253278 2126.056695
8 0 1 19.26295221 5.494917971 0.1997128731 2069.411356
8 0 2 20.99811788 5.490976482 0.1921018735 1977.017511
8 0 3 18.24225877 5.489325859 0.2168700436 1916.573348
8 0 4 19.16106561 5.493254631 0.2178362392 2036.372549
8 0 5 16.31708794 5.501957901 0.1900419509 1966.387435
8 0 6 24.54737067 5.485606067 0.159696246 2204.992651
8 0 7 29.28778298 5.489914207 0.1426066522 2055.881685
8 1 0 67.26772699 5.470302231 0.4970272571 781.7374902
