# det_number side channel corrected_fit_amp corrected_fit_energy corrected_fit_fwhm raw_fit_mean
1 0 0 2.038696714 2.117688176 1.700987587 591.0833078
1 0 1 1.940107632 2.435760108 0.3462827845 749.6488832
1 0 2 2.230465805 3.165102533 0.2458428041 780.6105635
1 0 3 1.312117969 2.458717673 0.2788234941 619.9581616
1 0 4 1.467226435 3.245466695 0.4657014103 662.9642502
1 0 5 2.20216349 3.506645352 1.012504848 660.5842698
1 0 6 1.482776737 3.185293796 0.4480707448 617.9485935
1 0 7 5.129950285 4.248968291 1.894180042 588.8841146
1 0 8 1.910435794 6.707098824 3.249186928 350.8653804
1 0 9 1.586495889 3.138558527 0.6773114798 650.9340364
1 0 10 142.4146825 0.9873268282 1.773572546 841.2904453
1 0 11 4.393390897 4.632189785 2.230028776 611.9995422
1 0 13 2.371723043 3.186500358 0.3576486563 798.2697566
1 0 14 2.505066952 3.216827567 0.3070980732 793.1635465
1 0 16 2.85235173 3.200583736 0.406702406 782.2823072
1 0 17 2.683085277 3.165521526 0.4063717672 746.7079273
1 0 18 2.500354598 3.242763006 0.4781287617 732.9921265
1 0 19 3.115764619 3.328049369 0.5569270241 674.9437683
1 0 20 4.626501703 2.299186893 2.417388988 681.4950615
1 0 21 4.501594963 3.15764292 0.3800114462 784.3987391
1 0 22 3.344371394 3.158388723 0.3308590406 762.3082109
1 0 23 4.617138885 3.163203873 0.3345970663 711.3188145
1 0 24 3.714831232 2.450494262 2.056570248 765.7257424
1 0 25 7.254079438 2.067669871 2.54073814 659.8274501
1 0 26 4.43597428 3.210235244 0.4479207777 703.3922015
1 0 27 26.27847236 4.593824596 1.957900686 636.5138588
1 0 28 1.992220197 5.833548595 0.960888583 357.1729224
1 0 29 6.148823049 3.192289285 0.3020287802 687.1494403
1 0 30 7.514267106 3.218273707 0.381641002 722.0087854
1 0 31 4.294489592 3.519376141 2.064929375 665.4562511
1 1 0 22.02033884 2.811403933 2.220955209 713.0040263
1 1 1 16.6388608 3.178403066 0.3661833901 636.9052203
1 1 2 30.87797165 3.153492177 0.6567564445 673.6247941
1 1 3 35.59658229 3.143108972 0.6650481476 620.8415725
2 0 0 1.202084087 3.360853211 0.6271736672 454.4129055
2 0 1 1.902836285 3.150152277 0.4954740971 631.5739151
2 0 3 2.034272478 2.873919141 0.5641060557 628.959887
2 0 4 1.695481748 3.27725948 0.7169720674 596.8740148
2 0 5 3.208534419 3.239613024 0.2472321753 615.8085246
2 0 6 2.206770861 3.271425709 0.9815147659 646.1500638
2 0 7 1.703129332 3.097839392 1.025505295 581.8902566
