# det_number side channel corrected_fit_amp corrected_fit_energy corrected_fit_fwhm raw_fit_mean
1 0 0 39.04230491 5.48606511 0.1118053152 2235.792952
1 0 1 37.65093223 5.485990782 0.1105208622 2262.174883
1 0 2 35.69165871 5.485676319 0.1230813154 2066.38423
1 0 3 39.26766852 5.485530556 0.1024737256 2231.310954
1 0 4 40.73585724 5.487304269 0.1098896909 2205.767477
1 0 5 35.32846278 5.486574719 0.1268821127 2156.739778
1 0 6 44.35149513 5.486599076 0.1057690774 2272.189569
1 0 7 40.95957866 5.487052046 0.1075540519 2225.272269
1 1 0 87.46440746 5.485972591 0.4431294463 902.233759
2 0 0 48.45775643 5.487195906 0.1043113299 2307.552164
2 0 1 46.00618204 5.486184685 0.1259065324 2223.894535
2 0 2 55.56449523 5.486400055 0.106367929 2269.54489
2 0 3 49.08194461 5.488527997 0.1117788631 2223.712272
2 0 4 48.8374009 5.487951692 0.1117570371 2281.211284
2 0 5 48.25552825 5.485147654 0.1100537052 2260.915614
2 0 6 51.09491797 5.486425614 0.1097624816 2330.291495
2 0 7 44.35504892 5.487582684 0.118544494 2236.79629
2 1 0 110.2101889 5.484506201 0.4284584097 964.213806
3 0 0 37.98919762 5.48802701 0.1086325205 2272.601729
3 0 1 39.31728211 5.487628134 0.1166703333 2308.013585
3 0 2 33.93368545 5.487925073 0.1228763743 2218.810877
3 0 3 35.68698341 5.486178996 0.1161242726 2260.715118
3 0 4 38.97975845 5.486107 0.1178793688 2254.572393
3 0 5 35.16831283 5.486616628 0.1171973252 2245.174728
3 0 6 38.31345636 5.489088274 0.1201271005 2278.20179
3 0 7 10.24873578 5.481113771 0.3369396437 2360.722387
3 1 0 85.58652916 5.489278207 0.4325834361 927.124648
4 0 0 38.03428894 5.485193846 0.1176344133 2283.214809
4 0 1 33.76524495 5.486580924 0.1270541458 2131.618678
4 0 2 39.70096165 5.486171507 0.110394736 2316.316774
4 0 3 34.19809934 5.488960502 0.1149431268 2164.817286
4 0 4 34.84498327 5.486559069 0.1264500065 2215.583705
4 0 5 41.0967111 5.485111164 0.09982231331 2281.986092
4 0 6 35.25349016 5.486828593 0.1279352927 2357.547291
4 0 7 36.724162 5.487418308 0.1083419651 2232.392792
4 1 0 85.56849849 5.484511256 0.439145465 918.2383977
5 0 0 50.79477978 5.486959081 0.1169986127 2197.511859
5 0 1 49.77875255 5.486730602 0.1229373784 2306.88569
5 0 2 53.65740041 5.486263176 0.09791834223 2276.872579
5 0 3 51.05312459 5.487383669 0.1081005823 2257.982492
5 0 4 50.51011473 5.486711668 0.1084217142 2205.798274
5 0 5 50.74890742 5.486578412 0.1136669692 2185.024896
5 0 6 54.00404447 5.486154969 0.1073965315 2197.368116
5 0 7 44.83785636 5.486951909 0.1219353465 2174.027401
5 1 0 114.6665758 5.484753005 0.4151818209 921.0304466
6 0 0 50.06248513 5.48641029 0.1036780113 2390.735039
6 0 1 50.53840811 5.486471589 0.09847100725 2372.947047
6 0 2 54.60262247 5.486844386 0.09494466436 2299.701944
6 0 3 49.99515974 5.4862616 0.1114485701 2275.229499
6 0 4 54.21615461 5.486191051 0.098931346 2303.62773
6 0 5 50.91874288 5.485345156 0.1015839647 2402.857147
6 0 6 49.96309033 5.487113051 0.1044005665 2296.772009
6 0 7 54.40869416 5.487640506 0.09953227901 2215.350689
6 1 0 129.2097981 5.486488798 0.3407069632 955.8436938
7 0 0 45.80804337 5.489238224 0.1129412054 2155.151591
7 0 1 52.55507907 5.487523095 0.1115008365 2260.73516
7 0 2 48.95061098 5.485991648 0.1073133749 2309.823422
7 0 3 47.6465527 5.487333291 0.1086094349 2311.957073
7 0 4 52.35085006 5.485249358 0.1039427074 2315.952531
7 0 5 45.24049633 5.486656214 0.1183875257 2270.525896
7 0 6 52.63902814 5.487273641 0.09663654875 2290.831788
7 0 7 49.38031168 5.485669836 0.1100754214 2236.838512
7 1 0 117.4187679 5.488034066 0.389254126 963.4521643
8 0 0 40.04712571 5.487611942 0.09584883404 2298.202216
8 0 1 43.21439229 5.485471786 0.1050819668 2243.259473
8 0 2 35.28863026 5.485563091 0.1140161548 2145.683035
8 0 3 39.37962356 5.486996782 0.1101307203 2090.381143
8 0 4 44.57514514 5.486105504 0.1015224068 2217.779352
8 0 5 33.14976132 5.487804187 0.1329384141 2138.305803
8 0 6 40.25648273 5.4862234 0.1106003657 2359.092839
8 0 7 37.75643813 5.485543134 0.1122966749 2196.809435
8 1 0 90.85921357 5.486728091 0.4156874236 896.2311764
