# det_number side channel corrected_fit_amp corrected_fit_energy corrected_fit_fwhm raw_fit_mean
1 0 0 11.10857261 5.484094863 0.1660975406 1587.847217
1 0 1 18.36146945 5.48690477 0.1089028425 1555.341838
1 0 2 17.19469063 5.487599412 0.1222309497 1613.864626
1 0 3 17.74000296 5.489066379 0.1312171145 1507.167167
1 0 4 22.03976178 5.486369667 0.1338455455 1568.073653
1 0 5 23.94461387 5.485653497 0.1246447839 1608.751654
1 0 6 24.8212955 5.486565857 0.1248109275 1584.657596
1 0 7 26.46052952 5.490359937 0.1197468501 1492.102737
1 0 8 29.28240312 5.485209835 0.1152288314 1557.863446
1 0 9 31.71409652 5.486209188 0.1048202569 1648.116397
1 0 10 37.69430602 5.487888598 0.104886258 1634.911271
1 0 11 37.08728665 5.484939151 0.108018035 1576.489986
1 0 12 34.41334048 5.484674987 0.1255400801 1643.851398
1 0 13 42.08909659 5.485819902 0.1027679184 1637.156048
1 0 14 48.58725493 5.487035301 0.1052273258 1643.850554
1 0 15 51.1165818 5.485180277 0.1055366383 1567.91477
1 0 16 53.00643328 5.48583193 0.1015583857 1662.12126
1 0 17 55.65577569 5.486121001 0.108189579 1624.960569
1 0 18 58.71254776 5.486762253 0.101543193 1614.260729
1 0 19 62.58707577 5.485657703 0.1020877251 1575.849505
1 0 20 72.06299227 5.486787049 0.1006884535 1653.269109
1 0 21 70.01709012 5.486789732 0.1038024 1673.727309
1 0 22 76.74874871 5.486337169 0.1011622179 1647.890454
1 0 23 74.18080623 5.486785322 0.111871444 1503.24857
1 0 24 87.45550023 5.486618715 0.09381767722 1668.326675
1 0 25 90.84218729 5.486578868 0.09860833814 1664.244233
1 0 26 94.63444386 5.485888615 0.09715491733 1625.675363
1 0 27 87.17790021 5.486385879 0.1038907543 1504.032828
1 0 28 101.307858 5.486349376 0.09218805155 1636.115278
1 0 29 95.49551236 5.486032744 0.09291060295 1647.197699
1 0 30 101.1707207 5.485912605 0.0932874714 1692.370937
1 0 31 77.14325561 5.486444556 0.1111236403 1528.588602
1 1 0 257.0491352 5.487503825 0.1981048607 1422.916792
1 1 1 167.6855416 5.485706472 0.1925742565 1385.473177
1 1 2 347.5560494 5.486091242 0.2007748821 1392.691882
1 1 3 264.0069391 5.486537184 0.1974608052 1426.19546
2 0 0 15.67266873 5.491812882 0.1421112307 1503.903666
2 0 1 20.71090765 5.493255302 0.1166418253 1622.566272
2 0 2 22.47110295 5.493879927 0.1005390946 1567.609071
2 0 3 20.7504558 5.486960689 0.1251029181 1468.428557
2 0 4 26.53353698 5.489452774 0.1132195759 1503.04439
2 0 5 24.22451373 5.48744904 0.1204292119 1515.949747
2 0 6 27.97761171 5.487051738 0.1188313884 1574.866565
2 0 7 28.04940047 5.486142272 0.1171247677 1439.730867
2 0 8 31.0451012 5.484322474 0.1204268172 1593.731722
2 0 9 35.12646529 5.488150783 0.112239308 1568.947656
2 0 10 34.73912233 5.489401484 0.1131832978 1600.789777
2 0 11 36.06267538 5.489819229 0.1239051523 1476.291855
2 0 12 41.31210177 5.488207632 0.120781747 1585.60099
2 0 13 43.77761153 5.483757358 0.1031907436 1610.631381
2 0 14 44.01999121 5.485272165 0.1132269515 1558.219367
2 0 15 49.68409417 5.48697041 0.1113896394 1526.277265
2 0 16 51.16980741 5.487056227 0.1205185988 1531.918154
2 0 17 54.31048983 5.487292023 0.1139480791 1537.77713
2 0 18 59.15037737 5.487879131 0.1027965647 1645.022774
2 0 19 72.9319621 5.487481093 0.1026763378 1521.193059
2 0 20 75.58494963 5.48507864 0.09669969146 1644.847427
2 0 21 84.94138583 5.486991331 0.0916296313 1658.819371
2 0 22 93.34310563 5.486833858 0.08879924141 1693.890941
2 0 23 84.48419522 5.486288933 0.09937171781 1620.083366
2 0 24 89.62236457 5.486299008 0.09695861944 1701.069479
2 0 25 86.63888046 5.485551927 0.09958382508 1642.374787
2 0 26 90.34755087 5.486753076 0.09330570479 1683.184481
2 0 27 95.9122897 5.485143406 0.09299107238 1583.103164
2 0 28 104.4328601 5.486275427 0.09032865869 1724.265826
2 0 29 87.55600236 5.486634002 0.1078883343 1597.588244
2 0 30 97.93988564 5.486278379 0.0932326857 1689.765732
2 0 31 91.78122746 5.485774432 0.09227488329 1666.433741
2 1 0 322.3662372 5.486032087 0.1987703697 1481.164223
2 1 1 266.3317907 5.485721121 0.1973637485 1417.954918
2 1 2 245.1456154 5.487451349 0.1922341231 1427.112915
2 1 3 251.1994291 5.486212644 0.1987375922 1458.771361
3 0 0 12.36739121 5.492461924 0.1512711615 1516.958886
3 0 1 15.98949609 5.483317362 0.1257441492 1628.748573
3 0 2 17.5214384 5.486665913 0.1323556657 1539.851413
3 0 3 17.7634857 5.489734141 0.106302957 1519.780283
3 0 4 20.70181613 5.487525806 0.1277469926 1497.975218
3 0 5 21.35487711 5.490548957 0.1244147796 1513.894063
3 0 6 26.19252601 5.486399752 0.1066978727 1577.380952
3 0 7 28.70865985 5.4859122 0.1181093757 1529.475796
3 0 8 23.58644105 5.48388685 0.1231970078 1566.570638
3 0 9 29.61952035 5.486417015 0.1227917273 1522.257099
3 0 10 36.47629568 5.48703162 0.1015256306 1561.121567
3 0 11 34.86642752 5.485175148 0.1209164577 1525.852831
3 0 12 36.68721835 5.484174541 0.1087877451 1566.553361
3 0 13 40.1744841 5.487796542 0.1076433545 1580.809493
3 0 14 39.96089791 5.485684942 0.112489155 1561.614207
3 0 15 43.73052835 5.487390803 0.1179767386 1539.854888
3 0 16 48.39137438 5.486672656 0.1111593535 1597.964276
3 0 17 47.46366647 5.486505305 0.1150063945 1569.371768
3 0 18 57.14762077 5.487704506 0.1136801024 1592.047031
3 0 19 51.907457 5.48666744 0.111428951 1495.076785
3 0 20 58.9238719 5.487493629 0.1128280308 1552.550945
3 0 21 63.94821727 5.484887503 0.1074272027 1582.81896
3 0 22 74.02071278 5.488699115 0.1052418902 1559.614911
3 0 23 75.23145091 5.488580482 0.103663358 1528.494383
3 0 24 71.76389417 5.486525947 0.1091511352 1522.35897
3 0 25 84.48880062 5.485911327 0.1046424709 1561.162216
3 0 26 92.54073384 5.486153543 0.09441154217 1584.944154
3 0 27 83.72051134 5.485297047 0.1076861562 1527.612293
3 0 28 88.49494873 5.486545486 0.09621287586 1583.916082
3 0 29 86.35016238 5.486785464 0.1004106485 1617.339973
3 0 30 84.85036111 5.485324152 0.09661113559 1653.99295
3 0 31 83.47126622 5.486074881 0.09848463027 1559.101614
3 1 0 285.4952707 5.486285572 0.1765823876 1541.535519
3 1 1 285.1839902 5.485821327 0.1926829165 1455.913109
3 1 2 230.8141548 5.486616873 0.1911584949 1505.209535
3 1 3 246.3793438 5.484872583 0.1840189151 1531.11473
