# det_number side channel corrected_fit_amp corrected_fit_energy corrected_fit_fwhm raw_fit_mean
1 0 0 36.2269527 5.487360228 0.1155598876 2230.446205
1 0 1 36.9302258 5.487151108 0.1228489125 2257.53357
1 0 2 30.78391755 5.488439165 0.1443163687 2059.980244
1 0 3 45.38963408 5.485362262 0.1085986234 2228.065733
1 0 4 44.46173116 5.485526876 0.1040440755 2201.751549
1 0 5 39.76606853 5.487126467 0.1113834669 2158.051588
1 0 6 46.55304412 5.486770311 0.1009171746 2269.13735
1 0 7 45.79272013 5.48545585 0.1009372838 2220.911151
1 1 0 92.31341438 5.488719354 0.4269061093 901.9749214
2 0 0 55.57662334 5.487965016 0.1075996724 2303.653617
2 0 1 51.94426936 5.485735612 0.1130819073 2222.839074
2 0 2 53.30670145 5.486654917 0.1121717103 2267.583891
2 0 3 53.56923303 5.485300412 0.1106739013 2220.957603
2 0 4 55.12475342 5.486602167 0.1017283771 2278.248844
2 0 5 46.71658721 5.485545388 0.1143801312 2256.433351
2 0 6 54.76588477 5.48514502 0.1038557327 2329.70915
2 0 7 54.11950967 5.486207164 0.1090468416 2233.498303
2 1 0 121.3543781 5.485446098 0.4068252318 963.5304623
3 0 0 36.84667106 5.486056739 0.109339481 2269.14131
3 0 1 41.62907324 5.486244674 0.1029668118 2305.258252
3 0 2 34.21808953 5.485721464 0.1178199972 2216.799512
3 0 3 43.96553432 5.485702222 0.1006326355 2257.502715
3 0 4 37.4091595 5.486403436 0.1189373272 2250.551186
3 0 5 31.74270747 5.488195592 0.1242985617 2238.03326
3 0 6 36.92101464 5.485883065 0.1159421557 2272.254812
3 0 7 19.63616077 5.489380237 0.2084812472 2355.221915
3 1 0 86.31199529 5.486547932 0.427627935 925.5572264
4 0 0 35.56124737 5.488222546 0.1163094389 2274.103916
4 0 1 35.73058244 5.486619975 0.1235684373 2127.258663
4 0 2 42.03231981 5.488507319 0.1108648506 2311.660651
4 0 3 42.90736232 5.487228743 0.1090767564 2159.046704
4 0 4 38.45967682 5.485147086 0.1190164037 2209.430745
4 0 5 39.86213242 5.487758833 0.1156727621 2271.87021
4 0 6 38.9527066 5.486972659 0.1062356386 2351.731324
4 0 7 39.15599316 5.486340695 0.1146053947 2221.640725
4 1 0 90.36969195 5.487133023 0.4382007886 913.9682268
5 0 0 50.89242745 5.487398002 0.1182381151 2194.540688
5 0 1 49.04801608 5.486578141 0.119322792 2306.278113
5 0 2 53.26169845 5.487957624 0.111208477 2274.181269
5 0 3 50.9535929 5.487745568 0.110433866 2257.309429
5 0 4 51.66259686 5.486452067 0.1160142524 2202.90277
5 0 5 51.3560029 5.486133154 0.1192711205 2181.297015
5 0 6 50.48011763 5.486419141 0.112982846 2196.393081
5 0 7 48.59857676 5.486329235 0.1168003547 2172.115484
5 1 0 118.7883487 5.486175493 0.4078179105 918.85835
6 0 0 57.10155918 5.485153808 0.09675754315 2387.179444
6 0 1 60.11324248 5.486365251 0.09299279627 2369.516109
6 0 2 54.8206176 5.487498165 0.1046637383 2297.585919
6 0 3 54.30254907 5.486792074 0.1070584408 2272.661231
6 0 4 54.88675492 5.486992446 0.1049552159 2302.374987
6 0 5 49.72457144 5.487524894 0.103352477 2402.655365
6 0 6 49.72527768 5.484626579 0.1040279793 2296.322618
6 0 7 46.33290874 5.485981678 0.1090367141 2210.99671
6 1 0 133.5412127 5.484182432 0.3434013886 954.7133508
7 0 0 43.08264403 5.485966364 0.1391081108 2148.081669
7 0 1 50.16623556 5.486375448 0.1165542982 2258.43414
7 0 2 48.72037094 5.488294774 0.1160009784 2307.471551
7 0 3 58.10385472 5.486635648 0.1019895385 2313.338087
7 0 4 48.6944429 5.487322236 0.1030084224 2312.523504
7 0 5 53.99283838 5.485786623 0.1101709242 2268.599041
7 0 6 48.70657252 5.486172633 0.110990278 2288.52716
7 0 7 49.04978291 5.485301935 0.1046785921 2233.412215
7 1 0 118.5756998 5.485289728 0.4086417727 960.6175831
8 0 0 44.86357023 5.48854717 0.09452263304 2294.800379
8 0 1 41.72955524 5.487127832 0.09757507609 2240.819273
8 0 2 37.94954994 5.486312139 0.1081822324 2145.868125
8 0 3 37.02220417 5.48561303 0.113874522 2089.164117
8 0 4 42.48755483 5.488406773 0.1033306535 2217.547322
8 0 5 40.20009711 5.484768756 0.1026510585 2141.757062
8 0 6 43.18647775 5.484079357 0.09609592235 2362.587507
8 0 7 39.442308 5.487197269 0.1123402051 2193.903546
8 1 0 94.04384129 5.486020557 0.398527774 896.4861157
