# det_number side channel corrected_fit_amp corrected_fit_energy corrected_fit_fwhm raw_fit_mean
1 0 0 30.29153548 3.184064321 0.06088317968 1618.245016
1 0 1 23.54794166 3.184646831 0.07029828461 1578.382351
1 0 2 24.50776659 3.183806312 0.07905604311 1633.467374
1 0 3 37.63010795 3.181502674 0.06209764122 1529.323929
1 0 4 35.42526655 3.184281366 0.06606976384 1590.41829
1 0 5 35.88902868 3.181762839 0.06663399988 1631.572809
1 0 6 44.96669936 3.181850867 0.07142637913 1606.801094
1 0 7 44.82033355 3.182512811 0.06576052351 1512.288026
1 0 8 44.64150714 3.180281769 0.06584435892 1576.263429
1 0 9 56.4986608 3.181843006 0.06089671543 1668.734589
1 0 10 54.67987567 3.182465909 0.06910522526 1653.628642
1 0 11 55.46118215 3.1813915 0.06145560297 1596.002736
1 0 12 66.58374683 3.181927878 0.06058419674 1666.132841
1 0 13 74.42980573 3.182407459 0.0643852806 1658.431808
1 0 14 69.18054796 3.181927641 0.0667343684 1665.812651
1 0 15 65.59851033 3.182286184 0.07704481739 1587.378609
1 0 16 80.57238253 3.182059638 0.06283153142 1682.766311
1 0 17 82.00514561 3.182086136 0.06618761363 1645.25055
1 0 18 98.63214746 3.181643203 0.05247596608 1637.210504
1 0 19 104.4697007 3.18207816 0.05970388948 1594.981643
1 0 20 97.4889149 3.18170659 0.0636479269 1673.874032
1 0 21 113.7082832 3.181920658 0.05429885727 1696.983293
1 0 22 130.9184482 3.18170285 0.05473581726 1670.353944
1 0 23 99.47870295 3.181929741 0.06979160459 1522.411878
1 0 24 140.808362 3.181955326 0.05357289836 1692.300343
1 0 25 130.2581202 3.182202891 0.05929162389 1686.650479
1 0 26 145.8376342 3.181498043 0.05725849141 1648.27947
1 0 27 134.7603808 3.182593375 0.06132166288 1522.41968
1 0 28 157.2236502 3.182086212 0.05755727366 1659.333541
1 0 29 151.0425811 3.181823049 0.05567527179 1668.461154
1 0 30 146.4498724 3.181466779 0.05352839021 1715.522542
1 0 31 124.3190184 3.182680546 0.05789043164 1550.0429
1 1 0 387.4199754 3.181928296 0.1166766562 1444.771318
1 1 1 262.9202503 3.181950099 0.1137002841 1407.590575
1 1 2 514.6616971 3.182046098 0.1203519873 1415.024765
1 1 3 415.821021 3.182275881 0.1136914386 1450.967349
2 0 0 28.38638154 3.182778349 0.0707011159 1534.553278
2 0 1 30.13977624 3.180409363 0.07223120953 1643.757553
2 0 2 33.83101318 3.183953552 0.06541869662 1584.510499
2 0 3 33.6321169 3.181292916 0.07712573107 1486.572914
2 0 4 34.82977172 3.182156993 0.07260893385 1522.094611
2 0 5 46.52147406 3.182475665 0.0592645372 1535.132374
2 0 6 42.47265489 3.180692412 0.06674683057 1597.626696
2 0 7 39.97061704 3.181354345 0.07960993907 1456.089751
2 0 8 55.98598289 3.182760106 0.06608094266 1614.211704
2 0 9 51.55209799 3.182379323 0.0660034404 1590.95789
2 0 10 63.97433182 3.181954035 0.06239059726 1620.803502
2 0 11 62.07125111 3.182344393 0.06778522607 1493.743203
2 0 12 64.93870959 3.18363249 0.06371077699 1606.346375
2 0 13 68.77430911 3.181623235 0.06821271716 1631.708885
2 0 14 69.66292193 3.182044238 0.06406231118 1576.803436
