# det_number side channel corrected_fit_amp corrected_fit_energy corrected_fit_fwhm raw_fit_mean
1 0 0 40.62200514 5.485963701 0.1147789918 2229.68272
1 0 1 38.21345126 5.487940963 0.1113222126 2256.935651
1 0 2 36.03676637 5.486552489 0.133936537 2059.446553
1 0 3 42.66454282 5.485332763 0.09763292829 2228.991773
1 0 4 39.82513167 5.487213243 0.1091365264 2202.90195
1 0 5 39.94710311 5.485059452 0.1083529887 2157.283835
1 0 6 42.79493561 5.487668427 0.1075918708 2269.384127
1 0 7 39.80443523 5.487715354 0.1127877023 2219.621693
1 1 0 85.85213305 5.486050465 0.4626992526 900.5717811
2 0 0 50.93686991 5.487989099 0.1085982126 2302.556421
2 0 1 52.96859446 5.484358834 0.1119450836 2223.962653
2 0 2 54.23277568 5.486420733 0.107351432 2264.04364
2 0 3 50.36494585 5.48724308 0.09964551147 2221.276802
2 0 4 50.95593301 5.486599758 0.1125249183 2276.977592
2 0 5 55.05857031 5.48664474 0.1130733264 2254.207092
2 0 6 52.90790111 5.48685945 0.113350578 2327.322287
2 0 7 50.56667763 5.486821099 0.1124008335 2231.146847
2 1 0 117.5286509 5.484690778 0.4148394599 962.3121549
3 0 0 43.91792426 5.486501245 0.100631553 2266.89744
3 0 1 36.45577974 5.483043087 0.09917510134 2305.337814
3 0 2 35.15023517 5.486378637 0.1238389174 2214.825259
3 0 3 38.53937281 5.485815291 0.1044423385 2253.379328
3 0 4 36.19680284 5.487523825 0.1116331341 2249.812041
3 0 5 37.00115575 5.486925135 0.1117893894 2236.010088
3 0 6 36.08466495 5.484264946 0.1112428272 2273.858856
3 0 7 23.62986572 5.487916222 0.1817376574 2354.776142
3 1 0 86.99091519 5.485996663 0.4185320857 924.455999
4 0 0 38.38545339 5.49014323 0.1149425281 2270.001738
4 0 1 37.95882145 5.486712946 0.12693286 2121.830607
4 0 2 38.43726211 5.483915413 0.1093527008 2309.532823
4 0 3 38.6022411 5.487585839 0.1166573073 2158.818811
4 0 4 38.07790203 5.487492268 0.1174439853 2205.032481
4 0 5 37.43881644 5.487459329 0.1148480143 2270.479922
4 0 6 34.52639322 5.487770032 0.1236891453 2346.745775
4 0 7 34.40100165 5.484961944 0.1150645798 2219.109548
4 1 0 86.87121931 5.485270901 0.4357553168 912.9986499
5 0 0 53.97329892 5.485696369 0.1091615882 2195.030555
5 0 1 43.18047368 5.485798597 0.1266661626 2305.471877
5 0 2 54.48701467 5.486316695 0.1077796763 2274.981089
5 0 3 55.57979003 5.486424708 0.1090822861 2255.469773
5 0 4 53.99008976 5.485811209 0.1085006744 2203.572158
5 0 5 47.21768248 5.48670041 0.1189996847 2181.770195
5 0 6 53.73490865 5.48673255 0.1049728225 2197.354284
5 0 7 45.45643335 5.485101906 0.1164769724 2172.425208
5 1 0 113.8429052 5.484469733 0.4197205407 919.8099567
6 0 0 59.32556299 5.485449015 0.09618023718 2384.411914
6 0 1 57.0974029 5.486055404 0.09406018133 2370.901915
6 0 2 56.12994133 5.485791617 0.09473625208 2298.710491
6 0 3 53.61576319 5.488443434 0.09733486141 2272.996088
6 0 4 46.25389456 5.487284783 0.1088357402 2300.831355
6 0 5 56.55543192 5.486748375 0.08826646011 2401.74085
6 0 6 51.31035106 5.486571261 0.1043664909 2294.259161
6 0 7 50.15478424 5.485383888 0.1042944564 2207.774179
6 1 0 130.1376767 5.484854093 0.3448284627 953.479294
7 0 0 43.99938461 5.487705072 0.1301731066 2149.171393
7 0 1 53.19881756 5.48479508 0.1039072992 2260.247547
7 0 2 55.78570014 5.485973277 0.1080940527 2311.079198
7 0 3 53.47256587 5.485908629 0.107483847 2309.607693
7 0 4 57.02612744 5.486865325 0.1010780444 2312.796404
7 0 5 52.81571318 5.486799904 0.1037796296 2267.920541
7 0 6 51.59977763 5.485078316 0.1062094424 2289.045423
7 0 7 40.50217209 5.486376776 0.1244556778 2231.566731
7 1 0 115.0214042 5.487169299 0.4134194012 960.2681764
8 0 0 43.06655946 5.48690178 0.09936463323 2296.00354
8 0 1 39.373048 5.48605093 0.09810868314 2239.678943
8 0 2 36.24069543 5.48709991 0.1134025231 2142.890964
8 0 3 32.36827567 5.487613267 0.1201995298 2086.124965
8 0 4 38.64141135 5.485746423 0.1069115366 2217.490774
8 0 5 35.3031439 5.487476676 0.1125511644 2137.865854
8 0 6 49.73809979 5.48589836 0.09286553632 2359.038925
8 0 7 36.3219945 5.484972782 0.1081299882 2193.939717
8 1 0 86.7592396 5.48783023 0.4197262958 895.3091837
