# det_number side channel corrected_fit_amp corrected_fit_energy corrected_fit_fwhm raw_fit_mean
1 0 0 27.46271165 3.182693709 0.07593321515 1621.024255
1 0 1 27.60451138 3.18320179 0.07638974213 1580.618173
1 0 2 25.08787036 3.184680513 0.07142339857 1638.662951
1 0 3 36.74087769 3.181501497 0.06883077181 1528.798191
1 0 4 36.27243877 3.182188506 0.06445770193 1593.925973
1 0 5 48.05833877 3.183185115 0.05873079508 1635.217303
1 0 6 42.09123948 3.182146329 0.06150172567 1610.654308
1 0 7 41.50495668 3.182053082 0.07019655724 1513.563078
1 0 8 44.6673194 3.181297523 0.07160194616 1581.291795
1 0 9 48.98195109 3.182030748 0.06474655538 1672.754534
1 0 10 53.6031793 3.181892848 0.06319645846 1659.308728
1 0 11 60.13191544 3.181785064 0.06920492998 1597.960036
1 0 12 62.5681632 3.1818281 0.05788524265 1672.287728
1 0 13 72.24758979 3.182031441 0.06323624387 1662.900899
1 0 14 74.33604876 3.182259186 0.061735785 1670.156269
1 0 15 80.05090626 3.18216848 0.06149968669 1591.736156
1 0 16 82.50072192 3.182208513 0.05839651386 1686.851464
1 0 17 85.35813999 3.180991164 0.05769808143 1649.952331
1 0 18 101.2472004 3.181754159 0.05753108878 1639.392611
1 0 19 108.4951871 3.181832614 0.05921080977 1598.988624
1 0 20 102.6934897 3.181637904 0.06101122942 1678.008494
1 0 21 109.6115076 3.18305356 0.05861467007 1699.096681
1 0 22 112.005659 3.182070246 0.06233363434 1673.646401
1 0 23 109.7995281 3.181873935 0.06595384585 1526.726143
1 0 24 142.6309006 3.182448803 0.05604703748 1694.743392
1 0 25 146.7783282 3.182246916 0.05046814603 1690.934495
1 0 26 133.9066411 3.181971595 0.05968727286 1650.973747
1 0 27 137.0872837 3.182361088 0.06212522132 1526.572203
1 0 28 146.8578463 3.181684783 0.05263224481 1663.140303
1 0 29 159.1994501 3.182064699 0.05435720248 1672.764579
1 0 30 157.8960101 3.181385769 0.05366182275 1718.726257
1 0 31 141.2469441 3.181524109 0.05689294646 1554.111057
1 1 0 384.4770797 3.181415926 0.1171671312 1449.132053
1 1 1 242.931086 3.181947936 0.1202156562 1411.905854
