0	0.268
10	0.123
20	0.017
30	0.045
40	0.067
50	0.084
60	0.095
70	0.105
80	0.118
90	0.125
100	0.133
112	0.147
120	0.155
130	0.16
140	0.165
150	0.177
160	0.185
170	0.191
180	0.198
190	0.205
200	0.217
