Angle [deg]1	CM	Angle [deg]2	Lab (0->) 40Ar	Angle [deg]3	Lab (0<-) 40Ar	Angle [deg]4	Lab (0->)  1H	Angle [deg]5	Lab (0<-)  1H	
0.050000	1.83381e+14	0.050000	1.10855e+11	0.050000	9944.34   	0.050000	27.0291   	0.050000	27.0291   	
0.229850	4.10637e+11	0.051395	9.93043e+10	0.051395	9945.01   	0.139941	27.0293   	0.139941	27.0293   	
0.409700	4.06794e+10	0.052789	8.92194e+10	0.052789	9945.71   	0.229882	27.0297   	0.229882	27.0297   	
0.589550	9.48767e+09	0.054184	8.03829e+10	0.054184	9946.42   	0.319823	27.0303   	0.319823	27.0303   	
0.769400	3.27069e+09	0.055578	7.26138e+10	0.055578	9947.14   	0.409764	27.0311   	0.409764	27.0311   	
0.949250	1.41167e+09	0.056973	6.5761e+10	0.056973	9947.9    	0.499705	27.0321   	0.499705	27.0321   	
1.129100	7.05234e+08	0.058367	5.96979e+10	0.058367	9948.67   	0.589646	27.0333   	0.589646	27.0333   	
1.308950	3.90463e+08	0.059762	5.43178e+10	0.059762	9949.45   	0.679587	27.0347   	0.679587	27.0347   	
1.488800	2.33313e+08	0.061156	4.95302e+10	0.061156	9950.26   	0.769528	27.0364   	0.769528	27.0364   	
1.668650	1.47855e+08	0.062551	4.52588e+10	0.062551	9951.09   	0.859469	27.0382   	0.859469	27.0382   	
1.848500	9.81821e+07	0.063945	4.1438e+10	0.063945	9951.93   	0.949410	27.0402   	0.949410	27.0402   	
2.028350	6.77257e+07	0.065340	3.8012e+10	0.065340	9952.78   	1.039351	27.0424   	1.039351	27.0424   	
2.208200	4.82157e+07	0.066734	3.49329e+10	0.066734	9953.67   	1.129292	27.0448   	1.129292	27.0448   	
2.388050	3.52522e+07	0.068129	3.21594e+10	0.068129	9954.57   	1.219233	27.0474   	1.219233	27.0474   	
2.567900	2.63674e+07	0.069524	2.96557e+10	0.069524	9955.48   	1.309174	27.0502   	1.309174	27.0502   	
2.747750	2.01137e+07	0.070918	2.7391e+10	0.070918	9956.42   	1.399115	27.0532   	1.399115	27.0532   	
2.927600	1.56091e+07	0.072313	2.53384e+10	0.072313	9957.38   	1.489056	27.0564   	1.489056	27.0564   	
3.107450	1.22979e+07	0.073707	2.34745e+10	0.073707	9958.35   	1.578997	27.0599   	1.578997	27.0599   	
3.287300	9.82009e+06	0.075102	2.17789e+10	0.075102	9959.34   	1.668938	27.0635   	1.668938	27.0635   	
3.467150	7.93614e+06	0.076496	2.02337e+10	0.076496	9960.36   	1.758879	27.0673   	1.758879	27.0673   	
3.647000	6.48313e+06	0.077891	1.88231e+10	0.077891	9961.39   	1.848820	27.0713   	1.848820	27.0713   	
3.826850	5.348e+06 	0.079285	1.75333e+10	0.079285	9962.43   	1.938761	27.0755   	1.938761	27.0755   	
4.006700	4.45083e+06	0.080680	1.63522e+10	0.080680	9963.51   	2.028702	27.0799   	2.028702	27.0799   	
4.186550	3.73419e+06	0.082074	1.52688e+10	0.082074	9964.6    	2.118643	27.0845   	2.118643	27.0845   	
4.366400	3.15617e+06	0.083469	1.42737e+10	0.083469	9965.69   	2.208584	27.0894   	2.208584	27.0894   	
4.546250	2.68582e+06	0.084864	1.33583e+10	0.084864	9966.82   	2.298525	27.0944   	2.298525	27.0944   	
4.726100	2.29993e+06	0.086258	1.25152e+10	0.086258	9967.97   	2.388466	27.0996   	2.388466	27.0996   	
4.905950	1.98095e+06	0.087653	1.17375e+10	0.087653	9969.13   	2.478407	27.105    	2.478407	27.105    	
5.085800	1.71541e+06	0.089047	1.10194e+10	0.089047	9970.31   	2.568348	27.1107   	2.568348	27.1107   	
5.265650	1.49293e+06	0.090442	1.03553e+10	0.090442	9971.52   	2.658289	27.1165   	2.658289	27.1165   	
5.445500	1.30538e+06	0.091836	9.74048e+09	0.091836	9972.73   	2.748230	27.1225   	2.748230	27.1225   	
5.625350	1.14639e+06	0.093231	9.17064e+09	0.093231	9973.96   	2.838171	27.1287   	2.838171	27.1287   	
5.805200	1.0109e+06	0.094625	8.64187e+09	0.094625	9975.23   	2.928112	27.1352   	2.928112	27.1352   	
5.985050	894856    	0.096020	8.15066e+09	0.096020	9976.51   	3.018053	27.1418   	3.018053	27.1418   	
6.164900	795003    	0.097414	7.69386e+09	0.097414	9977.79   	3.107994	27.1487   	3.107994	27.1487   	
6.344750	708703    	0.098809	7.26862e+09	0.098809	9979.11   	3.197935	27.1557   	3.197935	27.1557   	
6.524600	633808    	0.100203	6.87236e+09	0.100203	9980.45   	3.287876	27.1629   	3.287876	27.1629   	
6.704450	568556    	0.101598	6.50273e+09	0.101598	9981.8    	3.377817	27.1704   	3.377817	27.1704   	
6.884300	511494    	0.102993	6.15763e+09	0.102993	9983.17   	3.467758	27.1781   	3.467758	27.1781   	
7.064150	461419    	0.104387	5.83512e+09	0.104387	9984.56   	3.557699	27.1859   	3.557699	27.1859   	
7.244000	417328    	0.105782	5.53345e+09	0.105782	9985.97   	3.647640	27.194    	3.647640	27.194    	
7.423850	378384    	0.107176	5.25103e+09	0.107176	9987.39   	3.737581	27.2022   	3.737581	27.2022   	
7.603700	343882    	0.108571	4.98639e+09	0.108571	9988.85   	3.827522	27.2107   	3.827522	27.2107   	
7.783550	313227    	0.109965	4.73822e+09	0.109965	9990.32   	3.917463	27.2194   	3.917463	27.2194   	
7.963400	285916    	0.111360	4.5053e+09	0.111360	9991.79   	4.007404	27.2283   	4.007404	27.2283   	
8.143250	261521    	0.112754	4.28652e+09	0.112754	9993.3    	4.097345	27.2374   	4.097345	27.2374   	
8.323100	239675    	0.114149	4.08085e+09	0.114149	9994.83   	4.187286	27.2466   	4.187286	27.2466   	
8.502950	220065    	0.115543	3.88738e+09	0.115543	9996.37   	4.277227	27.2561   	4.277227	27.2561   	
8.682800	202422    	0.116938	3.70523e+09	0.116938	9997.93   	4.367168	27.2658   	4.367168	27.2658   	
8.862650	186514    	0.118332	3.53363e+09	0.118332	9999.52   	4.457109	27.2758   	4.457109	27.2758   	
9.042500	172141    	0.119727	3.37185e+09	0.119727	10001.1   	4.547050	27.2859   	4.547050	27.2859   	
9.222350	159127    	0.121122	3.21923e+09	0.121122	10002.7   	4.636991	27.2962   	4.636991	27.2962   	
9.402200	147322    	0.122516	3.07514e+09	0.122516	10004.4   	4.726932	27.3067   	4.726932	27.3067   	
9.582050	136592    	0.123911	2.93902e+09	0.123911	10006     	4.816873	27.3175   	4.816873	27.3175   	
9.761900	126823    	0.125305	2.81036e+09	0.125305	10007.7   	4.906814	27.3284   	4.906814	27.3284   	
9.941750	117913    	0.126700	2.68866e+09	0.126700	10009.4   	4.996755	27.3396   	4.996755	27.3396   	
10.121600	109773    	0.128094	2.57347e+09	0.128094	10011.1   	5.086696	27.3509   	5.086696	27.3509   	
10.301450	102325    	0.129489	2.46439e+09	0.129489	10012.9   	5.176637	27.3625   	5.176637	27.3625   	
10.481300	95498.6   	0.130883	2.36103e+09	0.130883	10014.6   	5.266578	27.3743   	5.266578	27.3743   	
10.661150	89232.9   	0.132278	2.26302e+09	0.132278	10016.4   	5.356519	27.3863   	5.356519	27.3863   	
10.841000	83473.6   	0.133672	2.17006e+09	0.133672	10018.2   	5.446460	27.3984   	5.446460	27.3984   	
11.020850	78172.3   	0.135067	2.08181e+09	0.135067	10020     	5.536401	27.4109   	5.536401	27.4109   	
11.200700	73286     	0.136462	1.99801e+09	0.136462	10021.8   	5.626342	27.4235   	5.626342	27.4235   	
11.380550	68776.2   	0.137856	1.91838e+09	0.137856	10023.7   	5.716283	27.4363   	5.716283	27.4363   	
11.560400	64608.7   	0.139251	1.84268e+09	0.139251	10025.6   	5.806224	27.4493   	5.806224	27.4493   	
11.740250	60752.7   	0.140645	1.77068e+09	0.140645	10027.5   	5.896165	27.4626   	5.896165	27.4626   	
11.920100	57180.6   	0.142040	1.70216e+09	0.142040	10029.4   	5.986106	27.4761   	5.986106	27.4761   	
12.099950	53867.9   	0.143434	1.63692e+09	0.143434	10031.3   	6.076047	27.4897   	6.076047	27.4897   	
12.279800	50792     	0.144829	1.57478e+09	0.144829	10033.2   	6.165988	27.5036   	6.165988	27.5036   	
12.459650	47933.1   	0.146223	1.51556e+09	0.146223	10035.2   	6.255929	27.5177   	6.255929	27.5177   	
12.639500	45273     	0.147618	1.4591e+09	0.147618	10037.2   	6.345870	27.532    	6.345870	27.532    	
12.819350	42795.2   	0.149012	1.40524e+09	0.149012	10039.2   	6.435811	27.5466   	6.435811	27.5466   	
12.999200	40485.1   	0.150407	1.35384e+09	0.150407	10041.2   	6.525752	27.5613   	6.525752	27.5613   	
13.179050	38329.2   	0.151801	1.30478e+09	0.151801	10043.3   	6.615693	27.5762   	6.615693	27.5762   	
13.358900	36315.2   	0.153196	1.25791e+09	0.153196	10045.4   	6.705634	27.5914   	6.705634	27.5914   	
13.538750	34432.1   	0.154591	1.21313e+09	0.154591	10047.4   	6.795575	27.6068   	6.795575	27.6068   	
13.718600	32669.8   	0.155985	1.17033e+09	0.155985	10049.6   	6.885516	27.6224   	6.885516	27.6224   	
13.898450	31019.2   	0.157380	1.1294e+09	0.157380	10051.7   	6.975457	27.6382   	6.975457	27.6382   	
14.078300	29471.8   	0.158774	1.09024e+09	0.158774	10053.8   	7.065398	27.6543   	7.065398	27.6543   	
14.258150	28019.9   	0.160169	1.05276e+09	0.160169	10056     	7.155339	27.6705   	7.155339	27.6705   	
14.438000	26656.6   	0.161563	1.01688e+09	0.161563	10058.2   	7.245280	27.687    	7.245280	27.687    	
14.617850	25375.5   	0.162958	9.82518e+08	0.162958	10060.4   	7.335221	27.7037   	7.335221	27.7037   	
14.797700	24170.7   	0.164352	9.49593e+08	0.164352	10062.6   	7.425162	27.7206   	7.425162	27.7206   	
14.977550	23036.7   	0.165747	9.18037e+08	0.165747	10064.9   	7.515103	27.7377   	7.515103	27.7377   	
15.157400	21968.7   	0.167141	8.8778e+08	0.167141	10067.1   	7.605044	27.755    	7.605044	27.755    	
15.337250	20962.1   	0.168536	8.58759e+08	0.168536	10069.4   	7.694985	27.7726   	7.694985	27.7726   	
15.517100	20012.6   	0.169930	8.30915e+08	0.169930	10071.7   	7.784926	27.7904   	7.784926	27.7904   	
15.696950	19116.6   	0.171325	8.0419e+08	0.171325	10074     	7.874867	27.8084   	7.874867	27.8084   	
15.876800	18270.2   	0.172720	7.78531e+08	0.172720	10076.4   	7.964808	27.8266   	7.964808	27.8266   	
16.056650	17470.4   	0.174114	7.53888e+08	0.174114	10078.8   	8.054749	27.845    	8.054749	27.845    	
16.236500	16714     	0.175509	7.30211e+08	0.175509	10081.1   	8.144690	27.8637   	8.144690	27.8637   	
16.416350	15998.3   	0.176903	7.07457e+08	0.176903	10083.5   	8.234631	27.8826   	8.234631	27.8826   	
16.596200	15320.7   	0.178298	6.85583e+08	0.178298	10086     	8.324572	27.9017   	8.324572	27.9017   	
16.776050	14678.6   	0.179692	6.64547e+08	0.179692	10088.4   	8.414513	27.9211   	8.414513	27.9211   	
16.955900	14070     	0.181087	6.44311e+08	0.181087	10090.9   	8.504454	27.9406   	8.504454	27.9406   	
17.135750	13492.8   	0.182481	6.24841e+08	0.182481	10093.4   	8.594395	27.9604   	8.594395	27.9604   	
17.315600	12945     	0.183876	6.06101e+08	0.183876	10095.9   	8.684336	27.9804   	8.684336	27.9804   	
17.495450	12424.8   	0.185270	5.88057e+08	0.185270	10098.4   	8.774277	28.0007   	8.774277	28.0007   	
17.675300	11930.6   	0.186665	5.70681e+08	0.186665	10101     	8.864218	28.0211   	8.864218	28.0211   	
17.855150	11460.8   	0.188060	5.53941e+08	0.188060	10103.5   	8.954159	28.0418   	8.954159	28.0418   	
18.035000	11014.1   	0.189454	5.3781e+08	0.189454	10106.1   	9.044100	28.0627   	9.044100	28.0627   	
18.214850	10589     	0.190849	5.22263e+08	0.190849	10108.7   	9.134041	28.0839   	9.134041	28.0839   	
18.394700	10184.3   	0.192243	5.07273e+08	0.192243	10111.4   	9.223982	28.1053   	9.223982	28.1053   	
18.574550	9798.85   	0.193638	4.92817e+08	0.193638	10114     	9.313923	28.1269   	9.313923	28.1269   	
18.754400	9431.57   	0.195032	4.78873e+08	0.195032	10116.7   	9.403864	28.1487   	9.403864	28.1487   	
18.934250	9081.43   	0.196427	4.65419e+08	0.196427	10119.4   	9.493805	28.1708   	9.493805	28.1708   	
19.114100	8747.47   	0.197821	4.52433e+08	0.197821	10122.1   	9.583746	28.1931   	9.583746	28.1931   	
19.293950	8428.8    	0.199216	4.39897e+08	0.199216	10124.8   	9.673687	28.2156   	9.673687	28.2156   	
19.473800	8124.59   	0.200610	4.27793e+08	0.200610	10127.6   	9.763628	28.2384   	9.763628	28.2384   	
19.653650	7834.06   	0.202005	4.16102e+08	0.202005	10130.3   	9.853569	28.2614   	9.853569	28.2614   	
19.833500	7556.47   	0.203399	4.04807e+08	0.203399	10133.1   	9.943510	28.2846   	9.943510	28.2846   	
20.013350	7291.15   	0.204794	3.93894e+08	0.204794	10136     	10.033451	28.3081   	10.033451	28.3081   	
20.193200	7037.43   	0.206189	3.83345e+08	0.206189	10138.8   	10.123392	28.3318   	10.123392	28.3318   	
20.373050	6794.72   	0.207583	3.73148e+08	0.207583	10141.6   	10.213333	28.3557   	10.213333	28.3557   	
20.552900	6562.45   	0.208978	3.63287e+08	0.208978	10144.5   	10.303274	28.3799   	10.303274	28.3799   	
20.732750	6340.08   	0.210372	3.5375e+08	0.210372	10147.4   	10.393215	28.4043   	10.393215	28.4043   	
20.912600	6127.12   	0.211767	3.44523e+08	0.211767	10150.3   	10.483156	28.429    	10.483156	28.429    	
21.092450	5923.07   	0.213161	3.35596e+08	0.213161	10153.3   	10.573097	28.4539   	10.573097	28.4539   	
21.272300	5727.51   	0.214556	3.26956e+08	0.214556	10156.2   	10.663038	28.479    	10.663038	28.479    	
21.452150	5540      	0.215950	3.18592e+08	0.215950	10159.2   	10.752979	28.5044   	10.752979	28.5044   	
21.632000	5360.16   	0.217345	3.10494e+08	0.217345	10162.2   	10.842920	28.53     	10.842920	28.53     	
21.811850	5187.61   	0.218739	3.02652e+08	0.218739	10165.2   	10.932861	28.5558   	10.932861	28.5558   	
21.991700	5021.99   	0.220134	2.95055e+08	0.220134	10168.3   	11.022802	28.5819   	11.022802	28.5819   	
22.171550	4862.98   	0.221528	2.87696e+08	0.221528	10171.4   	11.112743	28.6083   	11.112743	28.6083   	
22.351400	4710.26   	0.222923	2.80565e+08	0.222923	10174.4   	11.202684	28.6349   	11.202684	28.6349   	
22.531250	4563.53   	0.224318	2.73653e+08	0.224318	10177.6   	11.292625	28.6617   	11.292625	28.6617   	
22.711100	4422.52   	0.225712	2.66953e+08	0.225712	10180.7   	11.382566	28.6888   	11.382566	28.6888   	
