
q-Boundary -2.07833 -2.6 -1.6
========== 1 26 0 3
0 0 -0.8 6
amplitude  23 0 23
mean       -0.0607534 -0.2 0.2
sigma      0.278206 0 0.6
y-itercept 6.73491 0 230
slope      -1.66197 -4.6 0
q-Boundary -2.39894 -2.6 -1.6
========== 1 27 0 3
0 0 -1 6
amplitude  84.863 0 1000
mean       -0.00665948 -0.8 0.8
sigma      0.236078 0.1 0.3
y-itercept 4.95943 0 848.627
slope      -1.04765 -16.9725 0
q-Boundary -0.999862 -1 0.5
========== 1 28 0 3
0 0 -1 6
amplitude  63.8282 0 1000
mean       0.0263104 -0.8 0.8
sigma      0.251651 0.1 0.3
y-itercept 7.53278 0 638.282
slope      -1.17665 -12.7656 0
q-Boundary -0.999998 -1 0.5
========== 1 29 0 3
0 0 -1 6
amplitude  49.3312 0 1000
mean       -0.0164469 -0.8 0.8
sigma      0.297922 0.1 0.3
y-itercept 11.2292 0 493.312
slope      -1.24743 -9.86624 0
q-Boundary -0.986429 -1 0.5
========== 1 30 0 3
0 0 -1 6
amplitude  69.3139 0 1000
mean       0.0108458 -0.8 0.8
sigma      0.216962 0.1 0.3
y-itercept 14.4904 0 693.139
slope      -1.79022 -13.8628 0
q-Boundary -0.999967 -1 0.5
========== 1 31 0 3
0 0 -1 6
amplitude  49.8621 0 1000
mean       0.0833985 -0.8 0.8
sigma      0.3 0.1 0.3
y-itercept 10.6531 0 498.621
slope      -0.75777 -9.97242 0
q-Boundary -0.992301 -1 0.5
========== 1 32 0 3
0 0 -1 6
amplitude  39.9508 0 1000
mean       0.073614 -0.8 0.8
sigma      0.184003 0.1 0.3
y-itercept 12.2166 0 399.508
slope      -1.25387 -7.99016 0
q-Boundary -0.989656 -1 0.5
========== 1 33 0 3
0 0 -1 6
amplitude  54.968 0 1000
mean       0.096595 -0.8 0.8
sigma      0.245944 0.1 0.3
y-itercept 11.1433 0 549.68
slope      -2.23374 -10.9936 0
q-Boundary -0.979676 -1 0.5
========== 1 34 0 3
0 0 -1 6
amplitude  27.2447 0 1000
mean       0.00391926 -0.8 0.8
sigma      0.23472 0.1 0.3
y-itercept 2.92927 0 272.447
slope      -0.739111 -5.44894 0
q-Boundary -0.99987 -1 0.5
========== 1 35 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 1 36 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 1 37 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 1 38 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 1 39 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 1 40 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5

========== 2 0 0 3
0 0 -1 6
amplitude  134.831 0 169
mean       0.0236073 -0.2 2
sigma      0.209388 0 0.6
y-itercept 17.3513 0 1348.31
slope      -2.4358 -26.9662 0
q-Boundary -1.62624 -2.625 -1.625
========== 2 1 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 2 2 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 2 3 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 2 4 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 2 5 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 2 6 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 2 7 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 2 8 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 2 9 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 2 10 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 2 11 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 2 12 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 2 13 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 2 14 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 2 15 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 2 16 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 2 17 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 2 18 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 2 19 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 2 20 0 3
0 0 -1 6
amplitude  59.5898 0 60
mean       -0.0539981 -0.2 2
sigma      0.216236 0 0.6
y-itercept 2.90714 0 600
slope      -0.656839 -12 0
q-Boundary -0.850013 -1.35 -0.35
========== 2 21 0 3
0 0 -1 6
amplitude  85.8972 0 87
mean       -0.0568576 -0.2 2
sigma      0.267864 0 0.6
y-itercept 7.93142 0 870
slope      -1.70025 -17.4 0
q-Boundary -1.10002 -1.6 -0.6
========== 2 22 0 3
0 0 -1 6
amplitude  85.1154 0 105
mean       -0.0544002 -0.2 2
sigma      0.254977 0 0.6
y-itercept 12.4653 0 1050
slope      -2.858 -21 0
q-Boundary -1.30002 -1.8 -0.8
========== 2 23 0 3
0 0 -1 6
amplitude  102.508 0 120
mean       0.0695091 -0.2 2
sigma      0.223081 0 0.6
y-itercept 17.2456 0 1200
slope      -4.09014 -24 0
q-Boundary -1.6032 -2.2 -1.2
========== 2 24 0 3
0 0 -1 6
amplitude  76.5447 0 92
mean       0.104659 -0.2 2
sigma      0.193184 0 0.6
y-itercept 13.0925 0 920
slope      -3.22269 -18.4 0
q-Boundary -1.80618 -2.4 -1.4
========== 2 25 0 3
0 0 -1 6
amplitude  92.0547 0 102
mean       0.1217 -0.2 2
sigma      0.179385 0 0.6
y-itercept 11.5996 0 1020
slope      -2.96183 -20.4 0
q-Boundary -2.0172 -2.6 -1.6
========== 2 26 0 3
0 0 -1 6
amplitude  55.6921 0 1000
mean       -0.0689655 -0.8 0.8
sigma      0.209284 0.1 0.3
y-itercept 2.95599 0 556.921
slope      -0.737588 -11.1384 0
q-Boundary -0.996383 -1 0.5
========== 2 27 0 3
0 0 -1 6
amplitude  79.6189 0 1000
mean       -0.0415485 -0.8 0.8
sigma      0.228869 0.1 0.3
y-itercept 4.77179 0 796.189
slope      -0.975923 -15.9238 0
q-Boundary -0.969605 -1 0.5
========== 2 28 0 3
0 0 -1 6
amplitude  62.6936 0 1000
mean       -0.0529965 -0.8 0.8
sigma      0.251214 0.1 0.3
y-itercept 5.6653 0 626.936
slope      -0.727605 -12.5387 0
