
========== 1 0 0.6 3
0 0 -4 6
amplitude  102.365 0 121
mean       0.16272 -0.2 2
sigma      0.207526 0 0.6
y-itercept 17.7402 0 1023.65
slope      -3.97016 -20.473 0
q-Boundary -1.85166 -2.85 -1.85
========== 1 20 0.6 3
0 0 -4 6
amplitude  16.1072 0 24
mean       0.155901 -0.2 2
sigma      0.208081 0 0.6
y-itercept 6.67061 0 161.072
slope      -1.45709 -3.22144 0
q-Boundary -0.788641 -1.4 -0.4
========== 1 21 0.6 3
0 0 -4 6
amplitude  38.1395 0 44
mean       0.179651 -0.2 2
sigma      0.206129 0 0.6
y-itercept 6.39638 0 381.395
slope      -1.33034 -7.6279 0
q-Boundary -0.991569 -1.8 -0.8
========== 1 22 0.6 3
0 0 -4 6
amplitude  28.1421 0 33
mean       0.160382 -0.2 2
sigma      0.203146 0 0.6
y-itercept 8.14589 0 281.421
slope      -1.90425 -5.62842 0
q-Boundary -1.56769 -2.4 -1.4
========== 1 23 0.6 3
0 0 -4 6
amplitude  41.3966 0 51
mean       0.120607 -0.2 2
sigma      0.175014 0 0.6
y-itercept 9.68731 0 413.966
slope      -2.31511 -8.27932 0
q-Boundary -1.7175 -2.6 -1.6
========== 1 24 0.6 3
0 0 -4 6
amplitude  50.987 0 60
mean       0.149231 -0.2 2
sigma      0.196652 0 0.6
y-itercept 8.09565 0 509.87
slope      -1.93115 -10.1974 0
q-Boundary -2.00093 -3 -2
========== 1 25 0.6 3
0 0 -4 6
amplitude  27.7524 0 32
mean       0.29896 -0.2 2
sigma      0.150177 0 0.6
y-itercept 3.68728 0 277.524
slope      -0.913676 -5.55048 0
q-Boundary -2.60166 -3.6 -2.6

========== 2 0 0.6 3
0 0 -4 6
amplitude  92.9311 0 122
mean       0.115592 -0.2 2
sigma      0.254342 0 0.6
y-itercept 15.715 0 929.311
slope      -3.28766 -18.5862 0
q-Boundary -2.25137 -3.25 -2.25
========== 2 20 0.6 3
0 0 -4 6
amplitude  20.4545 0 29
mean       0.104193 -0.2 2
sigma      0.176832 0 0.6
y-itercept 8.57499 0 204.545
slope      -1.87774 -4.0909 0
q-Boundary -0.573836 -1.4 -0.4
========== 2 21 0.6 3
0 0 -4 6
amplitude  34.6862 0 43
mean       0.0850257 -0.2 2
sigma      0.171419 0 0.6
y-itercept 8.15833 0 346.862
slope      -1.75024 -6.93724 0
q-Boundary -1.16613 -2 -1
========== 2 22 0.6 3
0 0 -4 6
amplitude  28.2348 0 40
mean       0.0628629 -0.2 2
sigma      0.196121 0 0.6
y-itercept 9.47211 0 282.348
slope      -2.16916 -5.64696 0
q-Boundary -1.58854 -2.2 -1.2
========== 2 23 0.6 3
0 0 -4 6
amplitude  41.401 0 50
mean       0.082427 -0.2 2
sigma      0.243292 0 0.6
y-itercept 7.52756 0 414.01
slope      -1.67929 -8.2802 0
q-Boundary -1.98865 -2.6 -1.6
========== 2 24 0.6 3
0 0 -4 6
amplitude  41.8893 0 55
mean       0.208366 -0.2 2
sigma      0.243299 0 0.6
y-itercept 8.22211 0 418.893
slope      -1.95849 -8.37786 0
q-Boundary -2.30367 -3.2 -2.2
========== 2 25 0.6 3
0 0 -4 6
amplitude  16.2153 0 18
