
y-itercept 4.79698 0 3350
slope      -0.631741 -67 0
q-Boundary -0.507533 -0.9875 0.0125
========== 12 7 0.6 3
0 0 -4 6
amplitude  223.991 0 242
mean       0.13333 -0.2 2
sigma      0.178797 0 0.6
y-itercept 6.27769 0 2420
slope      -1.02948 -48.4 0
q-Boundary -0.787701 -1.2875 -0.2875
========== 12 8 0.6 3
0 0 -4 6
amplitude  170.362 0 189
mean       0.154215 -0.2 2
sigma      0.173242 0 0.6
y-itercept 9.59527 0 1890
slope      -1.95841 -37.8 0
q-Boundary -1.00605 -1.5125 -0.5125
========== 12 9 0.6 3
0 0 -4 6
amplitude  130.328 0 144
mean       0.167292 -0.2 2
sigma      0.177045 0 0.6
y-itercept 8.58649 0 1440
slope      -1.67306 -28.8 0
q-Boundary -1.18756 -1.6875 -0.6875
========== 12 10 0.6 3
0 0 -4 6
amplitude  100.93 0 115
mean       0.15208 -0.2 2
sigma      0.177267 0 0.6
y-itercept 9.20692 0 1150
slope      -1.83923 -23 0
q-Boundary -1.38756 -1.8875 -0.8875
========== 12 11 0.6 3
0 0 -4 6
amplitude  144.714 0 177
mean       0.132265 -0.2 2
sigma      0.184065 0 0.6
y-itercept 20.8186 0 1770
slope      -4.26675 -35.4 0
q-Boundary -1.57508 -2.075 -1.075
========== 12 12 0.6 3
0 0 -4 6
amplitude  60.4046 0 82
mean       0.12839 -0.2 2
sigma      0.174811 0 0.6
y-itercept 9.94892 0 820
slope      -2.11966 -16.4 0
q-Boundary -1.78772 -2.2875 -1.2875
========== 12 13 0.6 3
0 0 -4 6
amplitude  81.4884 0 102
mean       0.0965864 -0.2 2
sigma      0.174959 0 0.6
y-itercept 19.8867 0 1020
slope      -4.04882 -20.4 0
q-Boundary -1.9751 -2.475 -1.475
========== 12 14 0.6 3
0 0 -4 6
amplitude  47.5989 0 117
mean       0.149179 -0.2 2
sigma      0.209499 0 0.6
y-itercept 21.3723 0 1170
slope      -4.37128 -23.4 0
q-Boundary -2.15782 -2.675 -1.675
========== 12 15 0.6 3
0 0 -4 6
amplitude  19.5519 0 79
mean       0.145391 -0.2 2
sigma      0.158539 0 0.6
y-itercept 10.2807 0 790
slope      -2.27307 -15.8 0
q-Boundary -2.35508 -2.8625 -1.8625
========== 12 16 0.6 3
0 0 -2 6
amplitude  19.9382 0 106
mean       0.174775 -0.5 0.5
sigma      0.212606 0 0.6
y-itercept 9.16424 0 1060
slope      -2.25559 -21.2 0
q-Boundary -2.525 -3.025 -2.025

========== 13 0 0.6 3
0 0 -4 6
amplitude  1398.05 0 1478
mean       0.128924 -0.2 2
sigma      0.179233 0 0.6
y-itercept 52.6393 0 14780
slope      -7.85646 -295.6 0
q-Boundary -2.37445 -2.9625 -1.9625
========== 13 5 0.6 3
0 0 -4 6
amplitude  165.191 0 176
mean       0.110899 -0.2 2
sigma      0.152899 0 0.6
y-itercept 3.40608 0 1760
slope      -0.44815 -35.2 0
q-Boundary -0.325405 -0.8375 0.1625
========== 13 6 0.6 3
0 0 -4 6
amplitude  338.082 0 358
mean       0.0824153 -0.2 2
sigma      0.173984 0 0.6
y-itercept 2.65194 0 3580
slope      -0.181563 -71.6 0
q-Boundary -0.633117 -1.0375 -0.0375
========== 13 7 0.6 3
0 0 -4 6
amplitude  228.652 0 252
mean       0.14194 -0.2 2
sigma      0.172975 0 0.6
y-itercept 5.65782 0 2520
slope      -0.962281 -50.4 0
q-Boundary -0.787785 -1.2875 -0.2875
========== 13 8 0.6 3
0 0 -4 6
amplitude  176.397 0 184
mean       0.152358 -0.2 2
sigma      0.171529 0 0.6
y-itercept 6.57756 0 1840
slope      -1.21669 -36.8 0
q-Boundary -0.979249 -1.4875 -0.4875
