Angle [deg]1	CM	Angle [deg]2	Lab (0->) 40Ar	Angle [deg]3	Lab (0<-) 40Ar	Angle [deg]4	Lab (0->)  1H	Angle [deg]5	Lab (0<-)  1H	
0.050000	3.57731e+14	0.050000	2.16277e+11	0.050000	19401.2   	0.050000	52.4819   	0.050000	52.4819   	
0.229850	8.01051e+11	0.051395	1.93741e+11	0.051395	19402.5   	0.139941	52.4823   	0.139941	52.4823   	
0.409700	7.93555e+10	0.052789	1.74066e+11	0.052789	19403.9   	0.229882	52.4831   	0.229882	52.4831   	
0.589550	1.85081e+10	0.054184	1.56826e+11	0.054184	19405.3   	0.319823	52.4843   	0.319823	52.4843   	
0.769400	6.3803e+09	0.055578	1.41668e+11	0.055578	19406.7   	0.409764	52.4859   	0.409764	52.4859   	
0.949250	2.75381e+09	0.056973	1.28299e+11	0.056973	19408.2   	0.499705	52.4879   	0.499705	52.4879   	
1.129100	1.37574e+09	0.058367	1.1647e+11	0.058367	19409.7   	0.589646	52.4902   	0.589646	52.4902   	
1.308950	7.61697e+08	0.059762	1.05973e+11	0.059762	19411.2   	0.679587	52.4929   	0.679587	52.4929   	
1.488800	4.55135e+08	0.061156	9.66327e+10	0.061156	19412.8   	0.769528	52.4961   	0.769528	52.4961   	
1.668650	2.88428e+08	0.062551	8.82991e+10	0.062551	19414.4   	0.859469	52.4996   	0.859469	52.4996   	
1.848500	1.91529e+08	0.063945	8.08449e+10	0.063945	19416.1   	0.949410	52.5035   	0.949410	52.5035   	
2.028350	1.32116e+08	0.065340	7.41608e+10	0.065340	19417.7   	1.039351	52.5078   	1.039351	52.5078   	
2.208200	9.40569e+07	0.066734	6.81535e+10	0.066734	19419.5   	1.129292	52.5125   	1.129292	52.5125   	
2.388050	6.87684e+07	0.068129	6.27424e+10	0.068129	19421.2   	1.219233	52.5175   	1.219233	52.5175   	
2.567900	5.14363e+07	0.069524	5.78578e+10	0.069524	19423     	1.309174	52.523    	1.309174	52.523    	
2.747750	3.92369e+07	0.070918	5.34393e+10	0.070918	19424.8   	1.399115	52.5288   	1.399115	52.5288   	
2.927600	3.04494e+07	0.072313	4.94348e+10	0.072313	19426.7   	1.489056	52.5351   	1.489056	52.5351   	
3.107450	2.39902e+07	0.073707	4.57984e+10	0.073707	19428.6   	1.578997	52.5417   	1.578997	52.5417   	
3.287300	1.91566e+07	0.075102	4.24903e+10	0.075102	19430.5   	1.668938	52.5487   	1.668938	52.5487   	
3.467150	1.54814e+07	0.076496	3.94756e+10	0.076496	19432.5   	1.758879	52.5561   	1.758879	52.5561   	
3.647000	1.2647e+07	0.077891	3.67236e+10	0.077891	19434.5   	1.848820	52.5639   	1.848820	52.5639   	
3.826850	1.04326e+07	0.079285	3.42072e+10	0.079285	19436.5   	1.938761	52.5721   	1.938761	52.5721   	
4.006700	8.68248e+06	0.080680	3.19028e+10	0.080680	19438.6   	2.028702	52.5807   	2.028702	52.5807   	
4.186550	7.28448e+06	0.082074	2.97892e+10	0.082074	19440.8   	2.118643	52.5896   	2.118643	52.5896   	
4.366400	6.15692e+06	0.083469	2.78477e+10	0.083469	19442.9   	2.208584	52.599    	2.208584	52.599    	
4.546250	5.23937e+06	0.084864	2.60619e+10	0.084864	19445.1   	2.298525	52.6087   	2.298525	52.6087   	
4.726100	4.4866e+06	0.086258	2.4417e+10	0.086258	19447.4   	2.388466	52.6189   	2.388466	52.6189   	
4.905950	3.86434e+06	0.087653	2.28998e+10	0.087653	19449.6   	2.478407	52.6294   	2.478407	52.6294   	
5.085800	3.34634e+06	0.089047	2.14986e+10	0.089047	19451.9   	2.568348	52.6403   	2.568348	52.6403   	
5.265650	2.91233e+06	0.090442	2.0203e+10	0.090442	19454.3   	2.658289	52.6517   	2.658289	52.6517   	
5.445500	2.54648e+06	0.091836	1.90035e+10	0.091836	19456.6   	2.748230	52.6634   	2.748230	52.6634   	
5.625350	2.23633e+06	0.093231	1.78918e+10	0.093231	19459     	2.838171	52.6755   	2.838171	52.6755   	
5.805200	1.97202e+06	0.094625	1.68601e+10	0.094625	19461.5   	2.928112	52.688    	2.928112	52.688    	
5.985050	1.74564e+06	0.096020	1.59018e+10	0.096020	19464     	3.018053	52.7008   	3.018053	52.7008   	
6.164900	1.55085e+06	0.097414	1.50106e+10	0.097414	19466.5   	3.107994	52.7141   	3.107994	52.7141   	
6.344750	1.3825e+06	0.098809	1.4181e+10	0.098809	19469.1   	3.197935	52.7278   	3.197935	52.7278   	
6.524600	1.2364e+06	0.100203	1.34079e+10	0.100203	19471.7   	3.287876	52.7419   	3.287876	52.7419   	
6.704450	1.10911e+06	0.101598	1.26867e+10	0.101598	19474.3   	3.377817	52.7563   	3.377817	52.7563   	
6.884300	997799    	0.102993	1.20134e+10	0.102993	19477     	3.467758	52.7712   	3.467758	52.7712   	
7.064150	900114    	0.104387	1.13842e+10	0.104387	19479.7   	3.557699	52.7865   	3.557699	52.7865   	
7.244000	814105    	0.105782	1.07957e+10	0.105782	19482.5   	3.647640	52.8021   	3.647640	52.8021   	
7.423850	738135    	0.107176	1.02447e+10	0.107176	19485.2   	3.737581	52.8182   	3.737581	52.8182   	
7.603700	670829    	0.108571	9.72837e+09	0.108571	19488.1   	3.827522	52.8346   	3.827522	52.8346   	
7.783550	611029    	0.109965	9.24419e+09	0.109965	19490.9   	3.917463	52.8515   	3.917463	52.8515   	
7.963400	557752    	0.111360	8.78976e+09	0.111360	19493.8   	4.007404	52.8687   	4.007404	52.8687   	
8.143250	510162    	0.112754	8.36293e+09	0.112754	19496.8   	4.097345	52.8863   	4.097345	52.8863   	
8.323100	467546    	0.114149	7.96168e+09	0.114149	19499.8   	4.187286	52.9044   	4.187286	52.9044   	
8.502950	429292    	0.115543	7.58421e+09	0.115543	19502.8   	4.277227	52.9228   	4.277227	52.9228   	
8.682800	394876    	0.116938	7.22885e+09	0.116938	19505.8   	4.367168	52.9417   	4.367168	52.9417   	
8.862650	363844    	0.118332	6.89406e+09	0.118332	19508.9   	4.457109	52.9609   	4.457109	52.9609   	
9.042500	335804    	0.119727	6.57843e+09	0.119727	19512     	4.547050	52.9805   	4.547050	52.9805   	
9.222350	310418    	0.121122	6.28066e+09	0.121122	19515.2   	4.636991	53.0006   	4.636991	53.0006   	
9.402200	287388    	0.122516	5.99955e+09	0.122516	19518.4   	4.726932	53.021    	4.726932	53.021    	
9.582050	266458    	0.123911	5.73399e+09	0.123911	19521.6   	4.816873	53.0419   	4.816873	53.0419   	
9.761900	247401    	0.125305	5.48296e+09	0.125305	19524.9   	4.906814	53.0631   	4.906814	53.0631   	
9.941750	230020    	0.126700	5.24552e+09	0.126700	19528.2   	4.996755	53.0848   	4.996755	53.0848   	
10.121600	214141    	0.128094	5.0208e+09	0.128094	19531.6   	5.086696	53.1069   	5.086696	53.1069   	
10.301450	199611    	0.129489	4.80798e+09	0.129489	19534.9   	5.176637	53.1293   	5.176637	53.1293   	
10.481300	186294    	0.130883	4.60632e+09	0.130883	19538.4   	5.266578	53.1522   	5.266578	53.1522   	
10.661150	174071    	0.132278	4.41512e+09	0.132278	19541.8   	5.356519	53.1755   	5.356519	53.1755   	
10.841000	162836    	0.133672	4.23374e+09	0.133672	19545.3   	5.446460	53.1991   	5.446460	53.1991   	
11.020850	152495    	0.135067	4.06159e+09	0.135067	19548.9   	5.536401	53.2232   	5.536401	53.2232   	
11.200700	142963    	0.136462	3.89808e+09	0.136462	19552.4   	5.626342	53.2477   	5.626342	53.2477   	
11.380550	134165    	0.137856	3.74273e+09	0.137856	19556.1   	5.716283	53.2726   	5.716283	53.2726   	
11.560400	126036    	0.139251	3.59504e+09	0.139251	19559.7   	5.806224	53.298    	5.806224	53.298    	
11.740250	118513    	0.140645	3.45457e+09	0.140645	19563.4   	5.896165	53.3237   	5.896165	53.3237   	
11.920100	111545    	0.142040	3.32088e+09	0.142040	19567.1   	5.986106	53.3498   	5.986106	53.3498   	
12.099950	105083    	0.143434	3.19361e+09	0.143434	19570.9   	6.076047	53.3764   	6.076047	53.3764   	
12.279800	99082.7   	0.144829	3.07237e+09	0.144829	19574.7   	6.165988	53.4033   	6.165988	53.4033   	
12.459650	93505.6   	0.146223	2.95683e+09	0.146223	19578.5   	6.255929	53.4307   	6.255929	53.4307   	
12.639500	88316.4   	0.147618	2.84667e+09	0.147618	19582.4   	6.345870	53.4585   	6.345870	53.4585   	
12.819350	83483     	0.149012	2.7416e+09	0.149012	19586.3   	6.435811	53.4867   	6.435811	53.4867   	
12.999200	78976.5   	0.150407	2.64132e+09	0.150407	19590.3   	6.525752	53.5153   	6.525752	53.5153   	
13.179050	74770.8   	0.151801	2.5456e+09	0.151801	19594.3   	6.615693	53.5444   	6.615693	53.5444   	
13.358900	70842     	0.153196	2.45417e+09	0.153196	19598.3   	6.705634	53.5738   	6.705634	53.5738   	
13.538750	67168.6   	0.154591	2.3668e+09	0.154591	19602.4   	6.795575	53.6037   	6.795575	53.6037   	
13.718600	63730.8   	0.155985	2.28329e+09	0.155985	19606.5   	6.885516	53.634    	6.885516	53.634    	
13.898450	60510.8   	0.157380	2.20343e+09	0.157380	19610.7   	6.975457	53.6647   	6.975457	53.6647   	
