Angle [deg]1	CM	Angle [deg]2	Lab (0->) 40Ar	Angle [deg]3	Lab (0<-) 40Ar	Angle [deg]4	Lab (0->)  1H	Angle [deg]5	Lab (0<-)  1H	
176.303000	22.9809   	1.416650	1.08285e+06	1.416650	489169    	88.192180	2.94779e+06	88.192180	2.94779e+06	
176.482850	22.9764   	1.418044	1.09716e+06	1.418044	505817    	88.282121	3.43529e+06	88.282121	3.43529e+06	
176.662700	22.9721   	1.419439	1.11291e+06	1.419439	523880    	88.372062	4.03653e+06	88.372062	4.03653e+06	
176.842550	22.968    	1.420833	1.1303e+06	1.420833	543577    	88.462003	4.7867e+06	88.462003	4.7867e+06	
177.022400	22.9641   	1.422228	1.14957e+06	1.422228	565153    	88.551944	5.73494e+06	88.551944	5.73494e+06	
177.202250	22.9605   	1.423622	1.17105e+06	1.423622	588919    	88.641885	6.95118e+06	88.641885	6.95118e+06	
177.382100	22.9571   	1.425017	1.19512e+06	1.425017	615262    	88.731826	8.53721e+06	88.731826	8.53721e+06	
177.561950	22.9539   	1.426411	1.22227e+06	1.426411	644676    	88.821767	1.0645e+07	88.821767	1.0645e+07	
177.741800	22.9509   	1.427806	1.25312e+06	1.427806	677771    	88.911708	1.35079e+07	88.911708	1.35079e+07	
177.921650	22.9482   	1.429200	1.28848e+06	1.429200	715366    	89.001649	1.74969e+07	89.001649	1.74969e+07	
178.101500	22.9457   	1.430595	1.32947e+06	1.430595	758605    	89.091590	2.3225e+07	89.091590	2.3225e+07	
178.281350	22.9434   	1.431990	1.37763e+06	1.431990	808956    	89.181531	3.17529e+07	89.181531	3.17529e+07	
178.461200	22.9414   	1.433384	1.43507e+06	1.433384	868612    	89.271472	4.50238e+07	89.271472	4.50238e+07	
178.641050	22.9396   	1.434779	1.50495e+06	1.434779	940748    	89.361413	6.68517e+07	89.361413	6.68518e+07	
178.820900	22.938    	1.436173	1.59229e+06	1.436173	1.03028e+06	89.451354	1.05412e+08	89.451354	1.05412e+08	
179.000750	22.9366   	1.437568	1.70532e+06	1.437568	1.14543e+06	89.541295	1.80368e+08	89.541295	1.80368e+08	
179.180600	22.9355   	1.438962	1.85893e+06	1.438962	1.30109e+06	89.631236	3.47144e+08	89.631236	3.47144e+08	
179.360450	22.9346   	1.440357	2.08348e+06	1.440357	1.52806e+06	89.721177	8.03093e+08	89.721177	8.03092e+08	
179.540300	22.9339   	1.441751	2.45765e+06	1.441751	1.90381e+06	89.811118	2.58331e+09	89.811118	2.58331e+09	
179.720150	22.9334   	1.443146	3.27006e+06	1.443146	2.71588e+06	89.901059	1.79729e+10	89.901059	1.79729e+10	
179.900000	22.9332   	1.444540	1.02685e+07	1.444540	9.63601e+06	89.991000	1.09937e+12	89.991000	1.09937e+12	
