4.41, 6, 0.00, 0.399, 754.516, 0.659388, 0.023,   62.833827, 0.356,   2.277526, 1.766,   1.226216, 0.003,   2.353088, 0.096,   0.326721, 0.229,   ,,   ,,   0.101253, 0.002,   
4.41, 4, 0.00, 0.639, 493.697, 0.728556, 0.012,   57.157013, 3.504,   19.213391, 1.843,   ,,   ,,   ,,   ,,   ,,   ,,   
4.41, 5, 0.00, 7.203, 11.224, 1.038653, 0.004,   60.299968, 0.000,   0.023674, 0.004,   1.158533, 1.972,   2.087726, 0.000,   ,,   ,,   ,,   ,,   
4.41, 6, 0.00, 0.604, 377.703, 0.745360, 0.058,   79.395138, 13.860,   3.883048, 10.432,   1.114127, 0.104,   0.654068, 1.475,   1.366523, 0.708,   ,,   ,,   0.169938, 0.183,   
4.41, 7, 0.00, 0.595, 400.057, 0.700953, 0.081,   79.166315, 17.628,   28.911916, 33.304,   1.018580, 0.100,   1.022205, 0.352,   ,,   1.730814, 195.465,   0.694563, 1.646,   ,,   
5.86, 0, 1.00, 34.830, 408.181, ,,   55.540969, 0.428,   3.537150, 0.136,   ,,   ,,   ,,   ,,   ,,   ,,   
5.86, 1, 1.00, 4.779, 908.596, ,,   56.149145, 1.193,   3.055347, 0.160,   1.124342, 0.012,   2.208000, 0.043,   ,,   ,,   ,,   ,,   
5.86, 2, 1.00, 3.533, 286.385, ,,   41.692077, 2.700,   36.436347, 5.295,   1.452398, 0.051,   0.949995, 0.035,   0.100000, 0.004,   ,,   ,,   0.231934, 0.028,   
5.86, 0, 1.00, 5.161, 0.000, ,,   54.639705, 0.017,   3.9968E-13, 2.95E-0,   ,,   ,,   ,,   ,,   ,,   ,,   
5.86, 1, 1.00, 16.359, 531.075, ,,   80.643309, 3.297,   1.573241, 0.098,   0.906359, 0.022,   1.995310, 0.062,   ,,   ,,   ,,   ,,   
5.86, 2, 1.00, 1.778, 102.621, ,,   74.874540, 1.397,   0.581504, 0.425,   1.010656, 0.010,   2.258418, 0.367,   0.114423, 0.016,   ,,   ,,   0.448206, 0.016,   
5.86, 3, 1.00, 0.915, 232.509, ,,   51.078520, 0.491,   2.194856, 0.499,   1.270076, 0.005,   0.167333, 0.034,   ,,   13.214726, 0.210,   1.488979, 0.012,   ,,   
5.86, 0, 0.90, 29.426, 541.126, ,,   55.207715, 0.524,   5.714765, 0.184,   ,,   ,,   ,,   ,,   ,,   ,,   
5.86, 1, 0.90, 1.438, 867.925, ,,   59.202524, 4.043,   4.220634, 0.265,   1.100390, 0.042,   2.022433, 0.039,   ,,   ,,   ,,   ,,   
5.86, 2, 0.90, 0.546, 349.953, ,,   52.705142, 9.715,   16.001699, 19.303,   1.284366, 0.115,   1.723662, 0.296,   0.121447, 0.090,   ,,   ,,   0.346496, 0.109,   
5.86, 0, 0.90, 26.485, 523.313, ,,   52.917362, 0.467,   4.496692, 0.234,   ,,   ,,   ,,   ,,   ,,   ,,   
5.86, 1, 0.90, 5.577, 94.928, ,,   57.139862, 0.045,   1.519099, 0.388,   1.162080, 0.000,   0.100000, 0.118,   ,,   ,,   ,,   ,,   
5.86, 2, 0.90, 0.579, 338.068, ,,   48.164132, 6.955,   29.305048, 12.836,   1.440081, 0.076,   0.900411, 0.179,   0.100018, 0.043,   ,,   ,,   0.126367, 0.096,   
5.86, 3, 0.90, 1.424, 593.415, ,,   60.693100, 1.064,   1.227949, 0.111,   1.145797, 0.012,   2.004452, 0.329,   ,,   13.293115, 1.927,   0.546202, 0.056,   ,,   
5.86, 0, 0.80, 18.912, 643.977, ,,   54.422865, 0.697,   9.528048, 0.324,   ,,   ,,   ,,   ,,   ,,   ,,   
5.86, 1, 0.80, 0.295, 927.789, ,,   67.198351, 3.913,   5.640601, 0.730,   1.026362, 0.031,   1.908307, 0.088,   ,,   ,,   ,,   ,,   
5.86, 2, 0.80, 0.090, 844.313, ,,   67.878087, 3.445,   29.198612, 8.836,   1.003861, 0.024,   1.925664, 0.052,   0.109496, 0.034,   ,,   ,,   0.879076, 0.044,   
5.86, 0, 0.80, 17.757, 634.126, ,,   53.231533, 0.615,   8.879086, 0.381,   ,,   ,,   ,,   ,,   ,,   ,,   
5.86, 1, 0.80, 1.351, 1003.744, ,,   77.281370, 2.612,   3.834105, 0.273,   0.913661, 0.015,   2.095500, 0.065,   ,,   ,,   ,,   ,,   
5.86, 2, 0.80, 0.139, 1081.093, ,,   46.196757, 6.244,   16.434974, 7.376,   1.292438, 0.068,   2.230426, 0.097,   0.106813, 0.065,   ,,   ,,   0.758017, 0.142,   
