# det side strip channel_type expected entries status
31 1 0 single 1 771 found
31 1 1 single 1 1457 found
31 1 2 single 1 2058 found
31 1 3 single 1 2098 found
33 1 0 single 1 754 found
33 1 1 single 1 1016 found
33 1 2 single 1 1262 found
33 1 3 single 1 1449 found
34 1 0 single 1 1016 found
34 1 1 single 1 1503 found
34 1 2 single 1 2156 found
34 1 3 single 1 2180 found
35 1 0 single 1 883 found
35 1 1 single 1 1298 found
35 1 2 single 1 1578 found
35 1 3 single 1 1670 found
37 1 0 single 1 1115 found
37 1 1 single 1 2332 found
37 1 2 single 1 2662 found
37 1 3 single 1 2385 found
38 1 0 single 1 1615 found
38 1 1 single 1 2094 found
38 1 2 single 1 2624 found
38 1 3 single 1 3009 found
39 1 0 single 1 849 found
39 1 1 single 1 1077 found
39 1 2 single 1 1349 found
39 1 3 single 1 1364 found
40 1 0 single 1 823 found
40 1 1 single 1 1773 found
40 1 2 single 1 2395 found
40 1 3 single 1 2033 found
41 1 0 single 1 1 found
41 1 1 single 1 0 missing
41 1 2 single 1 0 missing
41 1 3 single 1 1 found
42 1 0 single 1 255 found
42 1 1 single 1 412 found
42 1 2 single 1 481 found
42 1 3 single 1 475 found
43 1 0 single 1 0 missing
43 1 1 single 1 2 found
43 1 2 single 1 2 found
43 1 3 single 1 11 found
44 1 0 single 1 1642 found
44 1 1 single 1 2208 found
44 1 2 single 1 2211 found
44 1 3 single 1 1648 found
45 1 0 single 1 82 found
45 1 1 single 1 106 found
45 1 2 single 1 104 found
45 1 3 single 1 73 found
46 1 0 single 1 1646 found
46 1 1 single 1 2328 found
46 1 2 single 1 2659 found
46 1 3 single 1 2774 found
48 1 0 single 1 853 found
48 1 1 single 1 1224 found
48 1 2 single 1 1443 found
48 1 3 single 1 1655 found
49 1 0 single 1 427 found
49 1 1 single 1 698 found
49 1 2 single 1 901 found
49 1 3 single 1 946 found
50 1 0 single 1 1469 found
50 1 1 single 1 2264 found
50 1 2 single 1 2699 found
50 1 3 single 1 2917 found
60 1 0 single 1 1134 found
60 1 1 single 1 2203 found
60 1 2 single 1 2642 found
60 1 3 single 1 2114 found
139 1 0 single 1 1635 found
139 1 1 single 1 2264 found
139 1 2 single 1 2742 found
139 1 3 single 1 2539 found
141 1 0 single 1 10 found
141 1 1 single 1 13 found
141 1 2 single 1 14 found
141 1 3 single 1 15 found
142 1 0 single 1 0 missing
142 1 1 single 1 0 missing
142 1 2 single 1 0 missing
142 1 3 single 1 3 found
5 0 0 paired 1 0 missing
5 0 1 paired 1 0 missing
5 0 2 paired 1 0 missing
5 0 3 paired 1 0 missing
5 0 4 paired 1 0 missing
5 0 5 paired 1 0 missing
5 0 6 paired 1 0 missing
5 0 7 paired 1 0 missing
8 0 0 paired 1 0 missing
8 0 1 paired 1 0 missing
8 0 2 paired 1 0 missing
8 0 3 paired 1 0 missing
8 0 4 paired 1 0 missing
8 0 5 paired 1 0 missing
8 0 6 paired 1 0 missing
8 0 7 paired 1 0 missing
9 0 0 paired 1 0 missing
9 0 1 paired 1 0 missing
9 0 2 paired 1 0 missing
9 0 3 paired 1 0 missing
9 0 4 paired 1 0 missing
9 0 5 paired 1 0 missing
9 0 6 paired 1 0 missing
9 0 7 paired 1 0 missing
10 0 0 paired 1 0 missing
10 0 1 paired 1 0 missing
10 0 2 paired 1 0 missing
10 0 3 paired 1 0 missing
10 0 4 paired 1 0 missing
10 0 5 paired 1 0 missing
10 0 6 paired 1 0 missing
10 0 7 paired 1 0 missing
11 0 0 paired 1 0 missing
11 0 1 paired 1 0 missing
11 0 2 paired 1 0 missing
11 0 3 paired 1 0 missing
11 0 4 paired 1 0 missing
11 0 5 paired 1 0 missing
11 0 6 paired 1 0 missing
11 0 7 paired 1 0 missing
14 0 0 paired 1 0 missing
14 0 1 paired 1 0 missing
14 0 2 paired 1 0 missing
14 0 3 paired 1 0 missing
14 0 4 paired 1 0 missing
14 0 5 paired 1 0 missing
14 0 6 paired 1 0 missing
14 0 7 paired 1 0 missing
15 0 0 paired 1 0 missing
15 0 1 paired 1 0 missing
15 0 2 paired 1 0 missing
15 0 3 paired 1 0 missing
15 0 4 paired 1 0 missing
15 0 5 paired 1 0 missing
15 0 6 paired 1 0 missing
15 0 7 paired 1 0 missing
16 0 0 paired 1 0 missing
16 0 1 paired 1 0 missing
16 0 2 paired 1 0 missing
16 0 3 paired 1 0 missing
16 0 4 paired 1 0 missing
16 0 5 paired 1 0 missing
16 0 6 paired 1 0 missing
16 0 7 paired 1 0 missing
17 0 0 paired 1 0 missing
17 0 1 paired 1 0 missing
17 0 2 paired 1 0 missing
17 0 3 paired 1 0 missing
17 0 4 paired 1 0 missing
17 0 5 paired 1 0 missing
17 0 6 paired 1 0 missing
17 0 7 paired 1 0 missing
18 0 0 paired 1 0 missing
18 0 1 paired 1 0 missing
18 0 2 paired 1 0 missing
18 0 3 paired 1 0 missing
18 0 4 paired 1 0 missing
18 0 5 paired 1 0 missing
18 0 6 paired 1 0 missing
18 0 7 paired 1 0 missing
19 0 0 paired 1 0 missing
19 0 1 paired 1 0 missing
19 0 2 paired 1 0 missing
19 0 3 paired 1 0 missing
19 0 4 paired 1 0 missing
19 0 5 paired 1 0 missing
19 0 6 paired 1 0 missing
19 0 7 paired 1 0 missing
20 0 0 paired 1 0 missing
20 0 1 paired 1 0 missing
20 0 2 paired 1 0 missing
20 0 3 paired 1 0 missing
20 0 4 paired 1 0 missing
20 0 5 paired 1 0 missing
20 0 6 paired 1 0 missing
20 0 7 paired 1 0 missing
21 0 0 paired 1 0 missing
21 0 1 paired 1 0 missing
21 0 2 paired 1 0 missing
21 0 3 paired 1 0 missing
21 0 4 paired 1 0 missing
21 0 5 paired 1 0 missing
21 0 6 paired 1 0 missing
21 0 7 paired 1 0 missing
22 0 0 paired 1 0 missing
22 0 1 paired 1 0 missing
22 0 2 paired 1 0 missing
22 0 3 paired 1 0 missing
22 0 4 paired 1 0 missing
22 0 5 paired 1 0 missing
22 0 6 paired 1 0 missing
22 0 7 paired 1 0 missing
23 0 0 paired 1 0 missing
23 0 1 paired 1 0 missing
23 0 2 paired 1 0 missing
23 0 3 paired 1 0 missing
23 0 4 paired 1 0 missing
23 0 5 paired 1 0 missing
23 0 6 paired 1 0 missing
23 0 7 paired 1 0 missing
26 0 0 paired 1 0 missing
26 0 1 paired 1 0 missing
26 0 2 paired 1 0 missing
26 0 3 paired 1 0 missing
26 0 4 paired 1 0 missing
26 0 5 paired 1 0 missing
26 0 6 paired 1 0 missing
26 0 7 paired 1 0 missing
27 0 0 paired 1 0 missing
27 0 1 paired 1 0 missing
27 0 2 paired 1 0 missing
27 0 3 paired 1 0 missing
27 0 4 paired 1 0 missing
27 0 5 paired 1 0 missing
27 0 6 paired 1 0 missing
27 0 7 paired 1 0 missing
29 0 0 paired 1 0 missing
29 0 1 paired 1 0 missing
29 0 2 paired 1 0 missing
29 0 3 paired 1 0 missing
29 0 4 paired 1 0 missing
